Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Tajikistan,2001,46.8,30.0,10.0,N/A,58.0,92.3,N/A,55.0,N/A,46.6,69.0,30.0,30.0
Tanzania,2001,54.9,30.0,19.0,N/A,80.9,94.1,N/A,55.0,N/A,70.1,45.0,50.0,50.0
"Thailand ",2001,68.9,70.0,32.0,N/A,75.4,90.3,N/A,70.0,N/A,84.6,77.6,70.0,50.0
The Bahamas,2001,74.8,90.0,70.0,N/A,97.3,89.2,N/A,100.0,N/A,87.3,19.4,50.0,70.0
The Gambia,2001,56.6,50.0,10.0,N/A,72.7,90.3,N/A,55.0,N/A,73.9,57.4,50.0,50.0
Timor-Leste,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Togo,2001,45.3,30.0,10.0,N/A,54.2,93.3,N/A,40.0,N/A,78.9,61.0,30.0,10.0
Tonga,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,2001,71.8,70.0,50.0,N/A,70.9,76.5,N/A,70.0,N/A,82.4,66.8,90.0,70.0
Tunisia,2001,60.8,50.0,50.0,N/A,68.7,58.9,N/A,70.0,N/A,84.2,45.2,70.0,50.0
Turkey,2001,60.6,70.0,36.0,N/A,66.9,73.0,N/A,70.0,N/A,36.4,73.0,70.0,50.0
Turkmenistan,2001,41.8,30.0,10.0,N/A,84.6,79.7,N/A,55.0,N/A,51.9,25.0,30.0,10.0
Uganda,2001,60.4,50.0,22.0,N/A,81.0,92.3,N/A,70.0,N/A,75.8,72.2,50.0,30.0
Ukraine,2001,48.5,30.0,26.0,N/A,63.8,49.6,N/A,55.0,N/A,62.3,70.0,50.0,30.0
United Arab Emirates,2001,74.9,90.0,90.0,N/A,99.9,51.3,N/A,85.0,N/A,80.7,77.0,50.0,50.0
United Kingdom,2001,77.6,90.0,86.0,N/A,61.7,52.0,N/A,85.0,N/A,85.7,78.0,70.0,90.0
United States,2001,79.1,90.0,75.0,N/A,63.5,71.2,N/A,85.0,N/A,85.9,81.0,70.0,90.0
"Uruguay ",2001,70.7,70.0,44.0,N/A,86.5,71.2,N/A,70.0,N/A,76.9,77.8,70.0,70.0
Uzbekistan,2001,38.2,30.0,18.0,N/A,55.9,65.3,N/A,40.0,N/A,44.9,50.0,30.0,10.0
Vanuatu,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Venezuela ",2001,54.6,30.0,26.0,N/A,75.5,88.0,N/A,55.0,N/A,55.9,61.4,50.0,50.0
Vietnam,2001,44.3,10.0,26.0,N/A,54.1,86.8,N/A,40.0,N/A,71.1,51.0,30.0,30.0
Yemen,2001,44.3,30.0,10.0,N/A,74.7,33.7,N/A,55.0,N/A,71.5,64.2,30.0,30.0
Zambia,2001,59.5,50.0,35.0,N/A,68.5,74.8,N/A,55.0,N/A,62.7,69.4,70.0,50.0
Zimbabwe,2001,38.8,10.0,41.0,N/A,47.8,61.1,N/A,55.0,N/A,41.2,53.4,10.0,30.0
